# Saving: 0.02 s

time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD,Q_applied_-1
1.18,2.0902002,-2.1517093,27.02273,-0.49636272,0.86811525,0.03564764,-0.14857027,2.8840423,-0.18860327,0.19278319,0.50509197,0.052377667,-1.0,0.1975,0.016798958,0.91273326,1.6692495,28.091112,-0.12438682,2.5605133,0.081140056
1.2,2.0521479,-1.5898843,23.738794,-0.46297756,0.88637,0.03315989,-0.09735975,5.328998,-0.15188053,0.55428576,1.4522287,0.053145245,-1.0,0.1975,0.016228626,0.6165004,1.2206805,25.30616,-0.053020246,4.668945,0.19278319
1.22,2.0247965,-1.0837616,37.624035,-0.43856397,0.8987,0.032099485,-0.003980938,-2.4526596,-0.140276,-0.18886428,-0.49482438,0.053974003,-1.0,0.1975,0.016228583,0.32305747,0.67476696,37.085564,-0.024076387,-2.0954752,0.55428576
1.24,2.009834,-0.34205106,25.10962,-0.42506865,0.90516114,0.031617958,-0.045890402,5.345977,-0.13594839,0.6339662,1.6609914,0.054859918,-1.0,0.1975,0.016601041,0.046497628,0.099301435,26.264246,-0.0015407816,4.6584935,-0.18886428
1.26,2.007641,0.18323337,45.656742,-0.42308262,0.9060911,0.031587142,0.047279384,-7.4142833,-0.11383975,-0.6841127,-1.7923753,0.055798963,-1.0,0.1975,0.01574575,-0.25096858,-0.52937317,44.151234,-0.014297306,-6.47964,0.6339662
1.28,2.0193582,1.0662572,26.653795,-0.43367007,0.9010717,0.031301197,-0.08231329,4.162536,-0.09930448,0.4362991,1.1431036,0.056787122,-1.0,0.1975,0.016373167,-0.5833482,-1.1725228,27.283754,-0.047993053,3.5878067,-0.6841127
1.3,2.0455513,1.6119318,33.24301,-0.4571205,0.8894048,0.030341337,-0.010557229,-0.11459749,-0.089116804,0.081728645,0.21412905,0.05782037,-1.0,0.1975,0.016498918,-0.90539,-1.6817799,33.045734,-0.011860985,-0.16618414,0.4362991
1.32,2.0837538,2.2728498,35.390877,-0.49075627,0.8712969,0.030104116,-0.013880928,-1.6408259,-0.06878343,-0.080375895,-0.21058483,0.058894683,-1.0,0.1975,0.016641583,-1.3281031,-2.2214403,34.838425,-0.027976677,-1.519738,0.081728645
1.34,2.135523,2.9696176,48.849567,-0.53518504,0.84473485,0.029544583,-0.044275656,-8.632675,-0.044175707,-0.90478706,-2.370542,0.06000604,-1.0,0.1975,0.017510874,-1.9152242,-2.8072026,46.93136,-0.116661206,-7.665689,-0.080375895
1.36,2.2035022,3.908244,21.953512,-0.59132904,0.8064304,0.02721136,-0.1975893,3.505877,-0.03312159,0.23037025,0.60357004,0.06115042,-1.0,0.1975,0.016550917,-2.56122,-3.207925,21.971735,-0.16887036,2.9901316,-0.90478706
1.38,2.2856243,4.347678,30.294226,-0.6554875,0.75520605,0.023833957,-0.13778672,-0.9644199,-0.023316804,-0.14369467,-0.37648,0.062323797,-1.0,0.1975,0.016215459,-3.181368,-3.3406796,29.228096,-0.14619906,-0.9124146,0.23037025
1.4,2.3779202,4.9322395,15.726426,-0.722301,0.69157875,0.020909978,-0.15603499,3.5599182,-0.008977602,0.33147547,0.86846566,0.06352215,-1.0,0.1975,0.01664221,-3.835187,-3.316179,15.397015,-0.12653995,3.099192,-0.14369467
1.42,2.479365,5.2401795,33.821236,-0.7886245,0.6148751,0.018379182,-0.09405121,-3.7414231,0.008953391,-0.33826238,-0.8862474,0.064741455,-1.0,0.1975,0.016733333,-4.5405846,-3.1527362,31.18342,-0.12504992,-3.2459857,0.33147547
1.44,2.5899782,5.863851,29.753513,-0.85167956,0.52406293,0.01587817,-0.15897125,-3.2633777,0.03983757,-0.3999032,-1.0477463,0.06597769,-1.0,0.1975,0.017331958,-5.3904986,-2.8784661,26.543737,-0.18552163,-2.739315,-0.33826238
1.46,2.7122722,6.3947253,2.0599508,-0.9092488,0.41625306,0.012167742,-0.2137575,3.7920837,0.076888464,0.19355893,0.50712436,0.06722684,-1.0,0.1975,0.017531,-5.9804063,-2.286952,0.8805522,-0.18137184,3.4775856,-0.3999032
1.48,2.840415,6.4123363,-2.637412,-0.9549878,0.29664505,0.008540308,-0.14420585,3.6768103,0.113496274,0.24579865,0.6439924,0.06848487,-1.0,0.1975,0.01628975,-6.198944,-1.4996305,-3.882722,-0.11264919,3.398371,0.19355893
